message,spam,transformed_text,num_characters,lem_num_characters,num_sentence
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr,157,14,1
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,please call customer service representative freephone pm guaranteed cash prize,149,10,1
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,unique enough find th august www areyouunique co uk,72,9,1
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,new mobile must go txt nokia collect today www tc biz optout gbp mtmsg,143,14,1
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,137,22,1
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recd thirtyeight penny,157,22,1
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,u secret admirer looking make contact u find r reveal think ur special call,145,14,1
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age,150,20,1
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,1,tried contact reply offer video handset anytime network min unlimited text camcorder reply call,154,14,1
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1,hey really horny want chat see naked text hot text charged pm unsubscribe text stop,121,15,1
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,ur ringtone service changed free credit go club mobile com choose content stop txt club stop p wk club po box mk wt,159,23,1
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,1,ringtone club get uk single chart mobile week choose top quality ringtone message free charge,133,15,1
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,hmv bonus special pound genuine hmv voucher answer easy question play send hmv info www percent real com,155,18,1
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1,mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer end thfeb c apply,159,19,1
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",1,sm ac blind date u rodds aberdeen united kingdom check http img sm ac w icmb cktz r blind date send hide,146,22,1
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap,138,16,1
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1,think ur smart win week weekly quiz text play c winnersclub po box uz gbp week,134,16,1
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,december mobile mths entitled update latest colour camera mobile free call mobile update co free,157,15,1
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1,call germany penny per minute call fixed line via access number prepayment direct access,128,14,1
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,valentine day special win quiz take partner trip lifetime send go p msg rcvd custcare,159,15,1
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x,111,15,1
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1,ur cash balance currently pound maximize ur cash send cash p msg cc hg suite land row w j hl,148,20,1
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",1,update xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call mobileupd call optout f q,165,19,1
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1,discount code rp stop message reply stop www regalportfolio co uk customer service,129,13,1
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",1,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service,157,13,1
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",1,double min txts month free bluetooth orange available sony nokia motorola phone call mobileupd call optout n dx,149,18,1
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,1,mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update stoptxt,155,17,1
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",1,free ringtone text first poly text get true tone help st free tone x pw e nd txt stop,158,19,1
100 dating service cal;l 09064012103 box334sk38ch,1,dating service cal l box sk ch,49,7,1
FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,1,free entry weekly competition text word win c www txttowin co uk,107,12,1
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,1,send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p,159,23,1
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,1,someone contacted dating service entered phone fancy find call landline pobox n tf p,162,14,1
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,1,urgent mobile number awarded prize guaranteed call land line claim valid hr,137,12,1
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1,congrats nokia video camera phone call call cost ppm ave call min vary mobile close post bcm ldn wc n xx,157,21,1
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1,loan purpose homeowner tenant welcome previously refused still help call free text back help,164,14,1
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end th july c apply opt available,175,19,1
okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,1,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae box cw wx ppm,161,18,1
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p,159,24,1
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",1,free message activate free text message replying message word free term condition visit www com,146,15,1
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss,160,18,1
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,1,congratulation week competition draw u prize claim call b c stop sm ppm,170,13,1
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd,148,17,1
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,1,boltblue tone p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tone txt,146,19,1
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,1,credit topped http www bubbletext com renewal pin tgxxrz,89,9,1
"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",1,urgent mobile awarded bonus caller prize nd attempt contact call box qu,145,12,1
"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",1,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x,160,18,1
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,recieve tone within next hr term condition please see channel u teletext pg,111,13,1
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,1,private account statement show un redeemed point call identifier code expires,146,11,1
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,1,www applausestore com monthlysubscription p msg max month csc web age stop txt stop,96,14,1
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,1,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm,160,16,1
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1,cash prize claim call,69,4,1
"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",1,mobile number claim call u back ring claim hot line,100,10,1
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,1,tried contact reply offer min textand new video phone call reply free delivery tomorrow,149,14,1
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1,ur chance win wkly shopping spree txt shop c www txt shop com custcare x p wk,127,17,1
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,specially selected receive pound award call line close cost ppm c apply ag promo,142,14,1
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,1,private account statement show un redeemed point call identifier code expires,148,11,1
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,1,important customer service announcement call freephone,86,6,1
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,1,xclusive clubsaisai morow soiree speciale zouk nichols paris free rose lady info,135,12,1
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,1,day kick euro u kept date latest news result daily removed send get txt stop,140,15,1
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,new textbuddy chat horny guy ur area p free receive search postcode gaytextbuddy com txt one name,130,17,1
Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,1,today vodafone number ending selected receive award number match call receive award,150,12,1
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",1,dear voucher holder claim week offer pc go http www e tlp co uk expressoffer t c apply stop text txt stop,143,22,1
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,1,private account statement show un redeemed point call identifier code expires,136,11,1
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1,cash prize claim call c rstm sw s ppm,97,9,1
88800 and 89034 are premium phone services call 08718711108,1,premium phone service call,59,4,1
SMS. ac sun0819 posts HELLO:\You seem cool,1,sm ac sun post hello seem cool,42,7,1
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,1,get ur st ringtone free reply msg tone gr top tone phone every week per wk opt send stop,154,19,1
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,1,hi sue year old work lapdancer love sex text live bedroom text sue textoperator g da ppmsg,158,17,1
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,1,forwarded please call immediately urgent message waiting,111,7,1
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",1,review keep fantastic nokia n gage game deck club nokia go www cnupdates com newsletter unsubscribe alert reply word,155,19,1
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,1,mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update stoptxt c,160,18,1
08714712388 between 10am-7pm Cost 10p,1,pm cost p,37,3,1
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,1,urgent nd attempt contact u u call b csbcm wc n xx callcost ppm mobilesvary max,163,16,1
You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,1,guaranteed cash prize claim yr prize call customer service representative pm,147,11,1
Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,1,email alertfrom jeri stewartsize kbsubject low cost prescripiton drvgsto listen email call,101,12,1
Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,1,hi customer loyalty offer new nokia mobile txtauction txt word start get ctxt tc p mtmsg,149,16,1
U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,1,u subscribed best mobile content service uk per day send stop helpline,132,12,1
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",1,realize year thousand old lady running around tattoo,102,8,1
You have an important customer service announcement from PREMIER.,1,important customer service announcement premier,65,5,1
"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",1,romantic paris night flight book next year call t c apply,96,11,1
Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,1,urgent ur guaranteed award still unclaimed call closingdate claimcode pmmorefrommobile bremoved mobypobox l yf,161,14,1
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,1,ur awarded city break could win summer shopping spree every wk txt store skilgme tscs winawk age perwksub,151,18,1
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,1,important customer service announcement premier call freephone,99,7,1
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),1,ever thought living good life perfect partner txt back name age join mobile community p sm,129,16,1
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",1,free top polyphonic tone call national rate get toppoly tune sent every week text subpoly per pole unsub,158,18,1
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",1,orange customer may claim free camera phone upgrade loyalty call offer end thmarch c apply opt availa,160,17,1
"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",1,last chance claim ur worth discount voucher today text shop savamob offer mobile c savamob pobox uz sub,154,18,1
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,free st week nokia tone ur mobile every week txt nokia get txting tell ur mate www getzed co uk pobox w wq norm p tone,162,26,1
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,1,guaranteed award even cashto claim ur award call free stop getstop php rg jx,143,14,1
Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,congratulation ur awarded either cd gift voucher free entry weekly draw txt music tncs www ldew com win ppmx age,150,20,1
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",1,u outbid simonwatson shinco dvd plyr bid visit sm ac smsrewards end bid notification reply end,133,16,1
"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",1,smsservices yourinclusive text credit pls goto www comuk net login qxj unsubscribe stop extra charge help comuk cm ae,156,19,1
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,1,p alfie moon child need song ur mob tell ur txt tone charity nokias poly charity polys zed profit charity,161,20,1
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1,u secret admirer reveal think u r special call opt reply reveal stop per msg recd cust care,147,18,1
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",1,dear voucher holder claim week offer pc please go http www e tlp co uk expressoffer t c apply stop text txt stop,152,23,1
Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,1,want anytime network min text new video phone five pound per week call reply delivery tomorrow,149,16,1
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,1,tried contact offer new video phone anytime network min half price rental camcorder call reply delivery wed,155,17,1
Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,1,last chance claim ur worth discount voucher text yes savamob member offer mobile c sub remove txt x stop,162,19,1
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",1,urgent call landline complimentary ibiza holiday cash await collection sae c po box sk wp ppm,153,16,1
Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,1,talk sexy make new friend fall love world discreet text dating service text vip see could meet,144,17,1
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,1,congratulation ur awarded either yr supply cd virgin record mystery gift guaranteed call t c www smsco net pm approx min,161,21,1
PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,1,private account statement xxxxxx show un redeemed point call identifier code expires,149,12,1
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,1,hello need posh bird chap user trial prod champneys put need address dob asap ta r,134,16,1
